iter	RMSE
0	0.3940091312
1	0.3868451349
2	0.3795612193
3	0.3724484621
4	0.3653324949
5	0.3591135753
6	0.3525537136
7	0.3458386402
8	0.3401485198
9	0.334067784
10	0.3284398587
11	0.3228248965
12	0.3168732133
13	0.3119132704
14	0.3064700046
15	0.3015337105
16	0.2963603214
17	0.2919050682
18	0.2873274776
19	0.2829838298
20	0.278825965
21	0.2744020103
22	0.270208413
23	0.2666395252
24	0.262926548
25	0.259035834
26	0.2552684029
27	0.2515546869
28	0.2480953326
29	0.2445096695
30	0.2411728393
31	0.2382742451
32	0.2354008449
33	0.23227923
34	0.2291489882
35	0.2259558091
36	0.2228845439
37	0.2205982694
38	0.2179643328
39	0.2156916186
40	0.2132352521
41	0.2108067973
42	0.2084092076
43	0.2060358372
44	0.2039374659
45	0.2022215893
46	0.2002620474
47	0.1982494567
48	0.1964705386
49	0.194890438
50	0.1928384598
51	0.1909202715
52	0.1892305632
53	0.1877014669
54	0.1858507782
55	0.1839678397
56	0.1824345692
57	0.1809771059
58	0.1793222723
59	0.1777577524
60	0.1763021395
61	0.1745545055
62	0.1731699362
63	0.1717247944
64	0.1703315221
65	0.16916423
66	0.1677536734
67	0.166468723
68	0.1651264755
69	0.1640159841
70	0.1626080502
71	0.1614768272
72	0.1601595988
73	0.1590206582
74	0.1579895995
75	0.1568354711
76	0.1558946067
77	0.1549443028
78	0.154026865
79	0.1528896643
80	0.1519578438
81	0.1511429812
82	0.150326728
83	0.1494926937
84	0.1488499674
85	0.1480395574
86	0.1473610521
87	0.1466770641
88	0.1459649972
89	0.145130049
90	0.1441978058
91	0.1433288765
92	0.1424149759
93	0.1418276165
94	0.1408448923
95	0.1402239707
96	0.1394504746
97	0.138888726
98	0.1383546302
99	0.1377601782
100	0.1371225577
101	0.1365055316
102	0.1357618167
103	0.13529212
104	0.1344572196
105	0.1339427973
106	0.1334041363
107	0.1330600246
108	0.1324789187
109	0.1320075279
110	0.1315348043
111	0.1308887391
112	0.1303365503
113	0.1298499357
114	0.1293821699
115	0.1290204936
116	0.1287301768
117	0.1282303735
118	0.1278512076
119	0.1273196678
120	0.1268083734
121	0.1262913131
122	0.1259571783
123	0.1255339881
124	0.1251531174
125	0.1248423342
126	0.1245758226
127	0.1241496892
128	0.1237716038
129	0.123499639
130	0.1233187861
131	0.1229274643
132	0.1225450597
133	0.1221756268
134	0.1219037461
135	0.1216047282
136	0.1213176899
137	0.121063669
138	0.1207649669
139	0.1204594447
140	0.1202855787
141	0.1199781026
142	0.1198064403
143	0.1195353083
144	0.1192367225
145	0.1189702894
146	0.1186083696
147	0.1182799659
148	0.1180857311
149	0.1179405202
150	0.1176483181
151	0.1174043853
152	0.1170937207
153	0.116791761
154	0.1165711984
155	0.1163230521
156	0.1162631063
157	0.1159958757
158	0.1158794838
