iter	Passed	Remaining
0	39	7832
1	69	6875
2	72	4785
3	132	6514
4	150	5851
5	185	6006
6	195	5391
7	263	6314
8	277	5888
9	340	6472
10	381	6560
11	435	6829
12	472	6790
13	523	6957
14	528	6515
15	590	6792
16	591	6364
17	661	6683
18	728	6940
19	804	7236
20	811	6918
21	832	6734
22	902	6941
23	902	6620
24	903	6322
25	975	6529
26	1047	6712
27	1064	6536
28	1131	6672
29	1146	6496
30	1153	6289
31	1155	6068
32	1161	5879
33	1175	5737
34	1177	5553
35	1180	5379
36	1218	5367
37	1224	5220
38	1229	5074
39	1231	4927
40	1236	4797
41	1237	4656
42	1241	4532
43	1297	4599
44	1301	4484
45	1314	4401
46	1319	4294
47	1321	4184
48	1416	4363
49	1453	4361
50	1454	4249
51	1460	4157
52	1549	4297
53	1559	4216
54	1560	4112
55	1624	4178
56	1645	4129
57	1649	4038
58	1658	3963
59	1771	4133
60	1875	4273
61	1919	4273
62	1991	4330
63	2060	4379
64	2073	4307
65	2074	4211
66	2079	4127
67	2083	4044
68	2152	4085
69	2159	4011
70	2239	4069
71	2242	3985
72	2295	3994
73	2306	3928
74	2342	3904
75	2349	3833
76	2421	3867
77	2441	3818
78	2505	3837
79	2519	3779
80	2532	3720
81	2546	3664
82	2550	3594
83	2551	3523
84	2554	3455
85	2558	3392
86	2580	3351
87	2592	3299
88	2594	3235
89	2690	3288
90	2698	3232
91	2720	3193
92	2740	3153
93	2813	3172
94	2845	3145
95	2850	3088
96	2863	3040
97	2872	2989
98	2881	2939
99	2952	2952
100	3030	2970
101	3035	2916
102	3044	2866
103	3055	2820
104	3140	2841
105	3209	2846
106	3210	2790
107	3213	2737
108	3293	2749
109	3300	2700
110	3306	2650
111	3380	2656
112	3399	2617
113	3477	2623
114	3481	2573
115	3482	2522
116	3487	2474
117	3548	2465
118	3610	2457
119	3686	2457
120	3695	2412
121	3701	2366
122	3739	2340
123	3750	2298
124	3816	2289
125	3851	2261
126	3922	2254
127	3925	2208
128	3989	2196
129	4060	2186
130	4120	2170
131	4127	2126
132	4132	2082
133	4199	2068
134	4203	2023
135	4218	1984
136	4296	1975
137	4368	1962
138	4441	1949
139	4522	1938
140	4602	1925
141	4689	1915
142	4700	1873
143	4708	1831
144	4780	1813
145	4788	1771
146	4796	1729
147	4817	1692
148	4824	1651
149	4826	1608
150	4835	1568
151	4843	1529
152	4861	1493
153	4869	1454
154	4882	1417
155	4897	1381
156	4903	1342
157	4914	1306
158	4976	1283
159	4993	1248
160	5009	1213
161	5034	1180
162	5036	1143
163	5074	1113
164	5083	1078
165	5148	1054
166	5235	1034
167	5310	1011
168	5356	982
169	5428	957
170	5454	924
171	5519	898
172	5591	872
173	5676	848
174	5750	821
175	5757	785
176	5821	756
177	5885	727
178	5951	698
179	5960	662
180	6032	633
181	6108	604
182	6176	573
183	6252	543
184	6328	513
185	6340	477
186	6346	441
187	6417	409
188	6485	377
189	6554	344
190	6558	309
191	6626	276
192	6638	240
193	6722	207
194	6799	174
195	6874	140
196	6952	105
197	6961	70
198	6969	35
199	7030	0
