iter	RMSE
0	77382.44423
1	75294.80173
2	73335.4094
3	71372.72381
4	69501.51887
5	67658.70262
6	65916.14607
7	64434.54023
8	62899.6419
9	61412.44181
10	59986.26091
11	58692.94191
12	57293.13777
13	55995.86664
14	54788.89884
15	53559.1031
16	52460.18
17	51401.29228
18	50400.383
19	49420.0765
20	48526.13552
21	47623.26154
22	46724.67472
23	45873.81061
24	45156.20216
25	44360.44273
26	43486.33112
27	42636.35844
28	41842.34868
29	41039.78893
30	40374.84433
31	39672.89927
32	39094.81363
33	38504.42537
34	37949.31907
35	37457.37941
36	36849.75439
37	36342.01175
38	35799.41514
39	35260.87181
40	34763.45511
41	34320.32194
42	33881.93107
43	33497.05032
44	33103.13856
45	32667.18601
46	32245.84954
47	31835.40724
48	31412.95746
49	31037.57053
50	30797.21251
51	30435.41734
52	30106.04505
53	29825.85088
54	29557.31728
55	29240.4196
56	29025.83167
57	28735.93744
58	28455.46303
59	28204.1798
60	27934.89617
61	27702.11318
62	27516.83115
63	27243.97647
64	27033.24024
65	26806.84791
66	26602.03533
67	26436.35379
68	26269.8721
69	26108.98921
70	25860.59784
71	25671.11107
72	25553.25358
73	25419.14396
74	25268.46265
75	25165.10688
76	24973.26148
77	24800.51238
78	24665.46225
79	24482.09685
80	24306.66988
81	24187.92818
82	24096.44929
83	23975.9332
84	23787.75478
85	23672.08027
86	23538.60291
87	23402.7382
88	23292.37949
89	23153.84872
90	23027.15075
91	22939.58132
92	22828.11353
93	22649.33938
94	22521.47035
95	22442.64838
96	22367.39189
97	22283.85017
98	22158.20573
99	22086.05375
100	22000.79413
101	21921.88375
102	21862.25359
103	21751.95341
104	21640.98448
105	21538.55065
106	21458.40659
107	21401.16361
108	21321.30076
109	21258.30254
110	21190.55324
111	21077.1943
112	20983.01186
113	20902.25577
114	20819.50041
115	20752.77833
116	20669.34801
117	20588.0069
118	20498.67477
119	20402.62256
120	20336.94455
121	20276.43711
122	20225.28396
123	20148.83486
124	20095.74812
125	20046.80336
126	20001.98079
127	19934.54302
128	19857.52885
129	19798.61726
130	19743.0415
131	19683.40062
132	19628.61189
133	19566.86713
134	19521.17769
135	19487.96861
136	19438.76296
137	19386.46769
138	19331.80778
139	19271.96658
140	19237.81624
141	19168.06658
142	19142.14087
143	19103.33153
144	19072.58436
145	19029.03945
146	19008.17507
147	18976.44374
148	18914.81211
149	18881.26486
150	18825.93905
151	18774.47166
152	18726.77778
153	18695.24666
154	18660.22774
155	18620.33295
156	18558.76268
157	18517.79708
158	18496.42836
159	18451.7814
160	18419.96233
161	18377.47108
162	18318.41804
163	18263.32804
164	18222.33627
165	18172.72291
166	18120.92149
167	18083.85468
168	18041.12762
169	17995.93598
170	17950.53915
171	17932.12323
172	17901.64882
173	17871.20387
174	17831.58245
175	17814.9672
176	17782.77715
177	17744.94423
178	17707.27724
179	17652.84141
180	17617.99125
181	17590.93381
182	17554.8833
183	17532.59077
184	17522.52637
185	17484.38507
186	17445.77077
187	17411.29562
188	17399.46168
189	17367.14629
190	17353.38328
191	17309.46696
192	17278.88568
193	17258.45843
194	17235.78922
195	17214.94064
196	17183.99453
197	17158.12614
198	17130.27443
199	17108.22894
200	17073.39317
201	17036.54778
202	16997.44017
203	16981.42252
204	16951.20897
205	16923.15311
206	16914.04321
207	16860.76453
208	16837.08187
209	16818.49658
210	16784.20761
211	16775.45692
212	16748.49234
213	16711.54572
214	16682.20336
215	16663.10148
216	16643.62644
217	16624.78204
218	16608.46431
219	16587.38609
220	16577.46833
221	16552.7044
222	16531.72125
223	16510.38533
224	16489.94319
225	16467.63291
226	16454.02777
227	16432.43062
228	16422.06949
229	16368.97194
230	16349.06282
231	16333.61762
232	16308.16701
233	16262.34058
234	16242.32326
235	16218.55886
236	16204.13728
237	16183.1437
238	16144.28461
239	16112.70275
240	16085.1815
241	16061.93498
242	16022.12663
243	16011.79063
244	15978.9397
245	15966.56939
246	15928.97026
247	15897.61589
248	15883.63598
249	15868.58952
250	15858.96981
251	15837.97562
252	15814.28526
253	15804.33618
254	15791.14829
255	15767.82737
