iter	RMSE
0	77262.31404
1	75117.86668
2	73140.1725
3	71174.77172
4	69205.95556
5	67407.3479
6	65590.15623
7	63922.73026
8	62178.39544
9	60612.83733
10	59128.30189
11	57679.48218
12	56261.33226
13	54886.03627
14	53614.25569
15	52409.29827
16	51197.13735
17	50069.86568
18	48995.65914
19	47942.83322
20	46990.1561
21	46049.66808
22	45147.07089
23	44364.668
24	43515.32397
25	42703.32268
26	41897.8767
27	41198.79026
28	40481.21495
29	39847.38024
30	39191.14354
31	38552.20743
32	37999.74773
33	37449.35562
34	36831.19722
35	36345.65548
36	35897.04007
37	35377.97076
38	34952.65915
39	34529.99115
40	34115.42779
41	33700.09528
42	33367.47549
43	33007.39341
44	32675.91789
45	32326.91675
46	32032.50944
47	31778.99756
48	31492.44761
49	31200.10323
50	30919.53367
51	30682.9343
52	30438.56265
53	30178.45621
54	29961.34552
55	29734.1097
56	29500.81546
57	29280.56147
58	29089.06951
59	28876.63181
60	28710.10585
61	28530.53135
62	28310.28934
63	28071.6457
64	27907.12825
65	27759.16155
66	27587.50668
67	27428.05685
68	27279.22699
69	27175.70217
70	27003.1623
71	26847.86261
72	26719.77206
73	26587.40845
74	26482.55945
75	26338.67592
76	26202.03837
77	26074.61885
78	25964.79144
79	25843.09727
80	25750.74616
81	25667.85327
82	25570.72552
83	25488.90655
84	25380.27344
85	25304.75959
86	25235.71617
87	25161.02712
88	25055.70586
89	24953.21443
90	24883.50061
91	24803.90565
92	24729.08923
93	24633.77576
94	24542.43242
95	24480.35849
96	24424.86689
97	24367.98608
98	24298.99783
99	24244.25813
100	24182.35245
101	24131.24236
102	24060.82654
103	23974.84706
104	23930.3733
105	23886.13079
106	23811.36076
107	23757.81547
108	23704.6726
109	23663.85907
110	23618.60583
111	23582.90932
112	23543.0576
113	23498.62241
114	23452.20234
115	23412.58521
116	23377.02352
117	23313.16466
118	23270.22893
119	23223.43312
120	23175.34023
121	23133.14706
122	23084.61449
123	23035.45686
124	22983.7523
125	22957.5008
126	22902.10162
127	22877.48216
128	22838.02731
129	22777.46954
130	22739.97336
131	22706.9849
132	22660.50059
133	22598.58189
134	22561.36318
135	22534.66035
136	22514.58806
137	22486.88921
138	22450.72928
139	22426.40954
140	22401.77744
141	22376.40764
142	22353.23358
143	22313.69165
144	22274.26507
145	22227.62279
146	22188.71599
147	22149.42075
148	22115.59746
149	22112.73633
150	22093.65234
151	22062.33636
152	22041.48118
153	22016.22747
154	21993.1703
155	21960.205
156	21927.17163
157	21908.89668
158	21873.30132
159	21850.82228
160	21836.94027
161	21811.42425
162	21805.84113
163	21789.38107
164	21767.25375
165	21740.92665
166	21725.65244
167	21704.70679
168	21691.7322
169	21663.03131
170	21649.09087
171	21623.59939
172	21602.75774
173	21590.62181
174	21571.24858
175	21544.42623
176	21524.08569
177	21512.79802
178	21496.67301
179	21469.64828
180	21455.88223
181	21417.08366
182	21394.26606
183	21354.47609
184	21329.49659
185	21308.89646
186	21277.67794
187	21264.20754
188	21235.25168
189	21226.15526
190	21206.83608
191	21184.72385
192	21149.3432
193	21123.07431
194	21102.36599
195	21079.47362
196	21051.98643
197	21027.53897
198	20994.49586
199	20981.21986
200	20949.13178
201	20938.03331
202	20907.15213
203	20872.25779
204	20847.3399
205	20819.4087
206	20798.22961
207	20771.54594
208	20741.66073
209	20710.55441
210	20693.28824
211	20673.6824
212	20644.5127
213	20637.06357
214	20616.69149
215	20609.80199
216	20586.46937
217	20573.0003
218	20543.52846
219	20519.59109
220	20495.05613
221	20476.79217
222	20458.92347
223	20426.36615
224	20410.89146
225	20384.40735
226	20363.93071
227	20340.73153
228	20329.19387
229	20310.36281
230	20302.90471
231	20273.78622
232	20262.20654
233	20236.69936
234	20232.18981
235	20200.60384
236	20181.85016
237	20165.77835
238	20148.88418
239	20139.03491
240	20113.66998
241	20108.99859
242	20093.50123
243	20081.3333
244	20053.69878
245	20029.6706
246	20017.80608
247	20012.6741
248	20007.48723
249	20003.36906
250	19977.68511
251	19957.66304
252	19922.18625
253	19905.65238
254	19882.41315
255	19874.04742
256	19862.09439
257	19844.88509
258	19825.79231
259	19820.36363
260	19798.012
261	19780.92554
262	19759.05609
263	19732.35373
264	19721.68571
265	19692.95127
266	19673.80533
267	19644.79792
268	19635.87827
269	19631.8584
270	19601.84199
271	19576.69813
272	19547.14754
273	19532.27557
274	19527.12709
275	19514.68374
276	19496.27064
277	19471.82592
278	19459.38877
279	19447.65284
280	19442.36928
281	19427.53367
282	19412.22746
283	19390.28135
284	19358.81929
285	19340.49788
286	19335.82343
287	19314.19058
288	19295.08545
289	19281.40278
290	19265.10014
291	19243.9848
292	19227.53206
293	19210.50443
294	19200.56637
295	19184.90124
296	19158.91649
297	19142.85646
298	19123.2587
299	19095.33772
300	19079.09508
301	19061.70007
302	19028.09459
303	19007.18072
304	18989.6276
305	18959.54588
306	18934.0269
307	18906.69991
308	18892.4851
309	18873.86575
310	18855.79475
311	18833.58129
312	18823.08969
313	18809.40592
314	18793.63706
315	18786.30961
316	18777.23776
317	18759.09516
318	18749.11064
319	18732.77967
320	18715.72864
321	18697.60355
322	18688.61705
323	18681.90846
324	18675.88924
325	18658.08603
326	18635.31248
327	18613.86142
328	18588.40594
329	18572.21593
330	18552.40041
331	18536.53807
332	18524.06874
333	18501.19503
334	18491.19509
335	18474.44846
336	18447.6068
337	18437.19765
338	18401.62873
339	18384.97748
340	18364.5249
341	18351.081
342	18341.35616
343	18331.01722
344	18306.5285
345	18291.14852
346	18270.70694
347	18248.55872
348	18225.795
349	18194.7308
350	18172.18889
