iter	Passed	Remaining
0	5	1174
1	11	1147
2	18	1187
3	24	1192
4	29	1137
5	35	1133
6	41	1131
7	48	1158
8	53	1128
9	59	1133
10	64	1114
11	70	1099
12	78	1125
13	83	1115
14	89	1103
15	95	1102
16	101	1092
17	108	1101
18	113	1085
19	119	1073
20	124	1064
21	130	1057
22	135	1046
23	141	1038
24	146	1024
25	152	1019
26	157	1008
27	161	993
28	166	981
29	171	972
30	176	959
31	181	952
32	186	941
33	191	934
34	196	928
35	202	922
36	207	913
37	212	906
38	218	901
39	223	895
40	228	887
41	234	881
42	239	875
43	244	868
44	249	860
45	254	853
46	259	845
47	265	841
48	270	833
49	276	828
50	281	822
51	287	816
52	291	809
53	298	806
54	302	798
55	307	791
56	313	785
57	318	780
58	323	774
59	328	767
60	333	759
61	338	754
62	343	747
63	349	743
64	357	742
65	363	737
66	369	733
67	372	723
68	376	715
69	382	709
70	388	706
71	394	701
72	399	695
73	405	690
74	410	683
75	417	681
76	422	675
77	428	670
78	434	666
79	440	660
80	445	655
81	453	652
82	458	645
83	464	641
84	471	637
85	477	633
86	484	629
87	490	623
88	495	617
89	502	614
90	508	608
91	514	603
92	519	597
93	525	592
94	532	588
95	538	583
96	544	578
97	551	573
98	556	568
99	563	563
100	568	557
101	573	551
102	579	545
103	585	540
104	590	534
105	596	529
106	602	523
107	607	517
108	612	511
109	619	506
110	623	500
111	629	494
112	634	488
113	639	482
114	644	476
115	650	471
116	656	465
117	662	460
118	666	453
119	671	447
120	676	441
121	682	436
122	687	430
123	693	424
124	698	418
125	704	413
126	709	407
127	714	401
128	719	395
129	725	390
130	730	384
131	737	379
132	743	374
133	748	368
134	754	363
135	760	357
136	765	352
137	771	346
138	775	340
139	781	334
140	787	329
141	792	323
142	797	317
143	803	312
144	808	306
145	814	301
146	820	295
147	826	290
148	831	284
149	837	279
150	843	273
151	846	267
152	851	261
153	857	256
154	862	250
155	868	244
156	875	239
157	880	234
158	885	228
159	892	223
160	896	217
161	902	211
162	907	206
163	913	200
164	917	194
165	924	189
166	929	183
167	936	178
168	941	172
169	947	167
170	952	161
171	958	155
172	963	150
173	971	145
174	976	139
175	982	133
176	988	128
177	993	122
178	1000	117
179	1006	111
180	1010	106
181	1017	100
182	1023	95
183	1029	89
184	1033	83
185	1039	78
186	1044	72
187	1049	67
188	1054	61
189	1060	55
190	1064	50
191	1070	44
192	1074	38
193	1079	33
194	1084	27
195	1089	22
196	1095	16
197	1101	11
198	1105	5
199	1110	0
