iter	Passed	Remaining
0	40	7972
1	57	5718
2	92	6051
3	111	5473
4	155	6075
5	196	6356
6	220	6085
7	257	6171
8	312	6639
9	350	6650
10	388	6677
11	423	6628
12	449	6469
13	490	6519
14	528	6516
15	571	6567
16	608	6552
17	647	6550
18	691	6589
19	723	6511
20	758	6461
21	787	6373
22	826	6358
23	864	6338
24	896	6275
25	922	6171
26	962	6169
27	1010	6206
28	1052	6207
29	1091	6185
30	1127	6149
31	1163	6107
32	1199	6072
33	1270	6205
34	1323	6238
35	1407	6412
36	1440	6347
37	1472	6278
38	1519	6273
39	1553	6212
40	1592	6175
41	1638	6162
42	1674	6115
43	1710	6064
44	1752	6036
45	1766	5914
46	1803	5870
47	1841	5830
48	1886	5812
49	1922	5767
50	1959	5724
51	1995	5679
52	2031	5634
53	2062	5576
54	2095	5524
55	2128	5472
56	2165	5432
57	2172	5318
58	2200	5259
59	2227	5198
60	2265	5162
61	2275	5065
62	2302	5006
63	2341	4975
64	2375	4933
65	2425	4924
66	2464	4891
67	2507	4867
68	2539	4820
69	2557	4750
70	2572	4674
71	2606	4633
72	2644	4600
73	2678	4560
74	2716	4527
75	2761	4504
76	2802	4477
77	2831	4428
78	2848	4362
79	2897	4346
80	2954	4340
81	3003	4321
82	3048	4297
83	3087	4264
84	3137	4245
85	3185	4222
86	3230	4195
87	3273	4165
88	3311	4129
89	3349	4093
90	3396	4067
91	3445	4044
92	3483	4007
93	3534	3985
94	3549	3922
95	3581	3879
96	3613	3836
97	3649	3798
98	3696	3771
99	3729	3729
100	3776	3702
101	3816	3667
102	3877	3651
103	3926	3624
104	3971	3592
105	4009	3555
106	4049	3519
107	4082	3477
108	4118	3438
109	4150	3395
110	4195	3363
111	4229	3322
112	4268	3286
113	4302	3245
114	4350	3215
115	4395	3182
116	4446	3154
117	4481	3114
118	4516	3074
119	4554	3036
120	4595	3000
121	4625	2957
122	4630	2898
123	4665	2859
124	4700	2820
125	4735	2781
126	4778	2746
127	4816	2709
128	4860	2675
129	4899	2638
130	4935	2599
131	4976	2563
132	5005	2521
133	5042	2483
134	5076	2444
135	5126	2412
136	5160	2373
137	5196	2334
138	5230	2295
139	5263	2255
140	5298	2216
141	5330	2177
142	5369	2140
143	5404	2101
144	5436	2062
145	5471	2023
146	5505	1985
147	5541	1947
148	5585	1911
149	5619	1873
150	5653	1834
151	5664	1788
152	5703	1752
153	5740	1714
154	5774	1676
155	5816	1640
156	5854	1603
157	5895	1567
158	5929	1529
159	5964	1491
160	5972	1446
161	5997	1406
162	6033	1369
163	6078	1334
164	6114	1297
165	6152	1260
166	6185	1222
167	6235	1187
168	6276	1151
169	6323	1115
170	6361	1078
171	6394	1040
172	6447	1006
173	6500	971
174	6530	932
175	6555	893
176	6599	857
177	6643	821
178	6682	784
179	6716	746
180	6762	709
181	6800	672
182	6837	635
183	6871	597
184	6909	560
185	6944	522
186	6978	485
187	7020	448
188	7061	410
189	7100	373
190	7140	336
191	7178	299
192	7216	261
193	7253	224
194	7295	187
195	7341	149
196	7379	112
197	7411	74
198	7451	37
199	7494	0
