iter	Passed	Remaining
0	2	2845
1	4	2471
2	7	2395
3	9	2324
4	11	2316
5	13	2301
6	15	2256
7	18	2235
8	20	2209
9	22	2191
10	24	2194
11	26	2192
12	28	2191
13	31	2183
14	33	2177
15	35	2169
16	37	2162
17	39	2155
18	41	2151
19	43	2152
20	46	2149
21	48	2146
22	50	2143
23	52	2139
24	54	2129
25	56	2129
26	58	2125
27	61	2118
28	63	2117
29	65	2114
30	67	2111
31	68	2083
32	71	2081
33	73	2075
34	75	2076
35	77	2074
36	79	2077
37	81	2073
38	84	2070
39	86	2067
40	88	2063
41	90	2062
42	92	2064
43	95	2064
44	97	2067
45	99	2064
46	101	2067
47	105	2088
48	108	2111
49	110	2108
50	113	2105
51	115	2100
52	117	2096
53	119	2095
54	121	2091
55	124	2091
56	126	2088
57	128	2084
58	130	2079
59	132	2076
60	134	2074
61	136	2070
62	138	2066
63	141	2063
64	143	2059
65	145	2055
66	147	2051
67	149	2050
68	151	2046
69	153	2043
70	155	2040
71	158	2038
72	160	2034
73	162	2032
74	164	2028
75	166	2024
76	168	2022
77	170	2018
78	173	2017
79	175	2014
80	177	2011
81	179	2008
82	181	2005
83	183	2003
84	185	1999
85	187	1997
86	189	1993
87	192	1991
88	195	1999
89	197	1996
90	199	1994
91	201	1993
92	204	1991
93	206	1988
94	208	1987
95	210	1985
96	213	1983
97	215	1979
98	217	1977
99	219	1974
100	221	1973
101	223	1971
102	225	1967
103	228	1966
104	230	1965
105	232	1964
106	235	1961
107	237	1959
108	239	1956
109	241	1953
110	243	1951
111	245	1948
112	247	1946
113	250	1943
114	252	1942
115	254	1940
116	257	1941
117	259	1938
118	261	1936
119	263	1933
120	265	1930
121	267	1928
122	270	1925
123	272	1922
124	273	1915
125	275	1912
126	277	1909
127	279	1906
128	282	1904
129	284	1902
130	286	1900
131	288	1897
132	290	1894
133	292	1893
134	295	1890
135	297	1887
136	299	1885
137	301	1882
138	302	1874
139	304	1871
140	306	1868
141	307	1860
142	309	1856
143	311	1851
144	313	1849
145	315	1847
146	317	1844
147	319	1841
148	321	1839
149	324	1836
150	326	1834
151	328	1832
152	330	1829
153	332	1828
154	334	1825
155	336	1822
156	339	1821
157	341	1819
158	343	1817
159	345	1815
160	347	1813
161	350	1811
162	352	1809
163	354	1806
164	356	1803
165	358	1801
166	360	1798
167	362	1796
168	364	1794
169	367	1792
170	367	1783
171	369	1780
172	371	1777
173	374	1775
174	376	1772
175	378	1770
176	380	1768
177	382	1766
178	384	1764
179	386	1761
180	388	1759
181	390	1757
182	393	1754
183	395	1752
184	397	1750
185	399	1749
186	401	1747
187	403	1744
188	405	1741
189	408	1740
190	410	1738
191	412	1735
192	414	1734
193	416	1731
194	418	1729
195	421	1727
196	423	1725
197	425	1722
198	427	1720
199	429	1718
200	431	1715
201	433	1713
202	435	1710
203	437	1708
204	440	1706
205	442	1704
206	444	1702
207	446	1699
208	448	1697
209	450	1695
210	452	1693
211	455	1691
212	457	1689
213	459	1687
214	461	1685
215	463	1683
216	465	1681
217	467	1678
218	470	1676
219	472	1674
220	474	1672
221	476	1670
222	478	1668
223	480	1665
224	482	1663
225	484	1660
226	487	1658
227	489	1656
228	491	1654
229	493	1652
230	495	1650
231	497	1647
232	500	1646
233	502	1643
234	504	1641
235	506	1639
236	508	1637
237	510	1635
238	512	1633
239	515	1630
240	517	1628
241	519	1626
242	521	1624
243	523	1622
244	525	1619
245	527	1617
246	529	1615
247	532	1613
248	534	1611
249	536	1609
250	538	1607
251	540	1604
252	542	1602
253	544	1600
254	546	1597
255	549	1595
256	551	1593
257	553	1591
258	555	1587
259	557	1585
260	559	1583
261	561	1581
262	563	1578
263	565	1576
264	567	1574
265	569	1572
266	571	1570
267	574	1568
268	576	1566
269	578	1563
270	580	1561
271	582	1559
272	585	1557
273	587	1555
274	589	1553
275	591	1552
276	593	1550
277	596	1548
278	598	1546
279	600	1544
280	602	1541
281	604	1539
282	607	1538
283	609	1535
284	611	1534
285	613	1532
286	615	1529
287	617	1527
288	620	1525
289	622	1523
290	624	1521
291	626	1519
292	628	1516
293	630	1514
294	632	1512
295	635	1510
296	637	1508
297	639	1506
298	641	1504
299	643	1501
300	645	1499
301	647	1497
302	650	1495
303	652	1493
304	654	1490
305	656	1488
306	658	1486
307	660	1484
308	663	1483
309	665	1480
310	667	1478
311	669	1476
312	671	1474
313	674	1472
314	676	1470
315	678	1468
316	680	1466
317	682	1464
318	685	1462
319	687	1460
320	689	1458
321	691	1456
322	693	1454
323	696	1452
324	698	1449
325	700	1447
326	702	1445
327	704	1443
328	706	1441
329	708	1439
330	711	1437
331	713	1435
332	715	1433
333	718	1431
334	720	1429
335	722	1427
336	724	1425
337	726	1423
338	728	1421
339	730	1418
340	733	1416
341	735	1414
342	737	1412
343	739	1410
344	741	1407
345	743	1405
346	745	1403
347	748	1401
348	750	1399
349	752	1397
350	754	1395
351	756	1393
352	758	1391
353	761	1388
354	763	1386
355	765	1384
356	767	1382
357	769	1380
358	771	1377
359	773	1375
360	775	1373
361	777	1371
362	779	1368
363	782	1366
364	784	1364
365	786	1362
366	788	1360
367	791	1358
368	793	1357
369	795	1355
370	797	1352
371	800	1351
372	802	1348
373	804	1346
374	806	1344
375	808	1342
376	811	1341
377	814	1339
378	816	1337
379	818	1335
380	820	1333
381	822	1330
382	824	1328
383	827	1326
384	829	1324
385	831	1322
386	833	1320
387	835	1318
388	837	1316
389	839	1313
390	842	1311
391	844	1309
392	846	1307
393	848	1305
394	851	1303
395	853	1301
396	855	1299
397	857	1296
398	859	1294
399	861	1292
400	864	1290
401	866	1288
402	868	1286
403	870	1284
404	872	1282
405	875	1280
406	877	1278
407	879	1276
408	881	1273
409	883	1271
410	886	1269
411	888	1267
412	890	1265
413	892	1263
414	894	1261
415	897	1259
416	899	1256
417	901	1254
418	903	1252
419	905	1250
420	907	1248
421	909	1246
422	912	1244
423	914	1242
424	916	1240
425	918	1238
426	921	1235
427	923	1233
428	925	1231
429	927	1229
430	929	1227
431	931	1225
432	934	1223
433	936	1221
434	938	1218
435	940	1216
436	943	1215
437	945	1213
438	947	1211
439	949	1209
440	952	1206
441	954	1204
442	956	1202
443	958	1200
444	960	1198
445	963	1196
446	965	1194
447	967	1191
448	969	1189
449	971	1187
450	973	1185
451	975	1182
452	977	1180
453	980	1178
454	982	1176
455	984	1174
456	986	1172
457	988	1170
458	991	1168
459	993	1166
460	995	1164
461	998	1162
462	1000	1160
463	1002	1158
464	1004	1156
465	1007	1153
466	1009	1151
467	1011	1149
468	1013	1147
469	1015	1145
470	1017	1142
471	1019	1140
472	1022	1138
473	1024	1136
474	1026	1134
475	1028	1132
476	1030	1130
477	1032	1127
478	1034	1125
479	1036	1123
480	1039	1121
481	1041	1119
482	1043	1117
483	1045	1115
484	1048	1113
485	1050	1111
486	1052	1108
487	1054	1106
488	1057	1104
489	1059	1102
490	1061	1100
491	1063	1098
492	1065	1096
493	1068	1094
494	1070	1092
495	1072	1089
496	1074	1087
497	1077	1085
498	1079	1083
499	1081	1081
500	1083	1079
501	1085	1077
502	1088	1075
503	1090	1073
504	1092	1070
505	1094	1068
506	1096	1066
507	1099	1064
508	1101	1062
509	1103	1060
510	1106	1058
511	1108	1056
512	1110	1054
513	1112	1052
514	1115	1050
515	1117	1048
516	1119	1046
517	1122	1044
518	1124	1042
519	1129	1042
520	1140	1048
521	1144	1048
522	1148	1047
523	1152	1046
524	1155	1045
525	1160	1045
526	1164	1045
527	1168	1044
528	1172	1043
529	1175	1042
530	1178	1040
531	1180	1038
532	1183	1036
533	1185	1034
534	1187	1032
535	1189	1029
536	1191	1027
537	1194	1025
538	1196	1022
539	1198	1020
540	1200	1018
541	1202	1016
542	1204	1013
543	1207	1011
544	1209	1009
545	1211	1007
546	1213	1004
547	1215	1002
548	1217	1000
549	1219	998
550	1222	995
551	1224	993
552	1226	991
553	1228	989
554	1230	986
555	1233	984
556	1235	982
557	1237	980
558	1239	977
559	1241	975
560	1243	973
561	1245	970
562	1247	968
563	1250	966
564	1252	964
565	1254	961
566	1256	959
567	1258	957
568	1260	955
569	1263	952
570	1265	950
571	1267	948
572	1269	946
573	1272	944
574	1274	941
575	1276	939
576	1278	937
577	1280	935
578	1282	932
579	1285	930
580	1287	928
581	1289	926
582	1291	924
583	1294	921
584	1296	919
585	1300	918
586	1302	916
587	1304	914
588	1307	912
589	1309	910
590	1312	908
591	1314	905
592	1316	903
593	1318	901
594	1321	899
595	1324	898
596	1327	895
597	1330	894
598	1332	891
599	1334	889
600	1336	887
601	1338	885
602	1340	882
603	1342	880
604	1345	878
605	1347	876
606	1349	873
607	1352	871
608	1354	869
609	1356	867
610	1358	865
611	1361	862
612	1363	860
613	1365	858
614	1367	856
615	1369	853
616	1372	851
617	1374	849
618	1376	847
619	1378	845
620	1380	842
621	1383	840
622	1385	838
623	1387	836
624	1390	834
625	1392	831
626	1394	829
627	1397	827
628	1399	825
629	1401	823
630	1403	820
631	1406	818
632	1408	816
633	1410	814
634	1412	811
635	1414	809
636	1417	807
637	1419	805
638	1421	803
639	1423	800
640	1425	798
641	1428	796
642	1430	794
643	1432	791
644	1434	789
645	1437	787
646	1439	785
647	1441	783
648	1443	780
649	1445	778
650	1448	776
651	1450	774
652	1452	772
653	1455	769
654	1457	767
655	1459	765
656	1461	763
657	1463	760
658	1466	758
659	1468	756
