iter	RMSE
0	77377.57726
1	75455.78031
2	73475.78793
3	71475.18969
4	69560.82538
5	67812.83005
6	66012.06448
7	64319.92207
8	62765.67636
9	61320.91641
10	60012.12011
11	58681.28166
12	57303.29718
13	56048.05887
14	54791.51531
15	53768.51242
16	52626.16134
17	51594.89999
18	50608.10806
19	49540.89007
20	48610.30371
21	47694.86735
22	46735.15336
23	45870.92282
24	45056.69806
25	44236.24126
26	43476.29047
27	42694.78845
28	41947.49438
29	41344.55939
30	40671.01579
31	40094.84782
32	39496.22777
33	38931.54896
34	38278.09578
35	37685.97222
36	37191.86654
37	36658.2942
38	36110.66095
39	35599.87698
40	35129.80517
41	34684.56335
42	34219.14274
43	33843.00409
44	33454.26981
45	33063.22521
46	32726.36135
47	32366.61142
48	31943.47662
49	31629.79916
50	31368.47386
51	31031.77529
52	30701.76048
53	30432.47912
54	30186.45698
55	29832.65073
56	29593.31021
57	29384.21461
58	29089.19776
59	28865.9913
60	28647.93463
61	28479.13932
62	28259.40896
63	28068.68254
64	27827.59105
65	27585.21576
66	27393.01081
67	27151.9798
68	26947.70982
69	26698.02225
70	26516.61297
71	26346.57101
72	26207.69112
73	25959.71176
74	25755.79734
75	25572.19653
76	25414.36456
77	25285.17947
78	25096.5097
79	24969.23163
80	24795.64023
81	24672.12471
82	24553.88078
83	24379.42732
84	24210.67965
85	24042.13562
86	23841.09295
87	23692.21934
88	23531.83046
89	23401.19093
90	23287.14153
91	23161.56954
92	23006.44323
93	22885.66428
94	22755.04115
95	22616.87297
96	22475.45127
97	22395.97547
98	22296.58028
99	22180.17031
100	22046.47811
101	21941.8976
102	21812.00826
103	21752.61713
104	21667.55861
105	21557.22076
106	21491.55122
107	21412.47725
108	21350.47532
109	21284.35611
110	21177.91424
111	21103.25265
112	21004.07512
113	20924.33705
114	20849.49629
115	20766.71823
116	20656.6853
117	20572.25461
118	20493.03816
119	20415.10566
120	20349.14348
121	20274.0559
122	20184.83707
123	20128.26838
124	20064.38119
125	19983.57982
126	19911.6644
127	19829.70233
128	19761.29081
129	19737.15906
130	19702.04509
131	19653.5232
132	19611.02254
133	19546.95361
134	19491.10264
135	19445.35447
136	19382.06147
137	19374.47335
138	19308.04733
139	19246.01278
140	19167.06768
141	19090.86153
142	19041.17088
143	18973.07606
144	18922.23484
145	18914.22943
146	18869.01947
147	18817.68311
148	18797.26269
149	18747.30122
150	18709.00593
151	18672.95223
152	18668.96142
153	18621.41519
154	18559.79564
155	18491.16561
156	18468.43583
157	18420.72631
158	18370.83645
159	18355.27416
160	18320.94927
161	18277.29144
162	18215.50428
163	18173.48225
164	18141.48999
165	18094.91596
166	18054.41795
167	18009.1564
168	17968.1763
169	17923.34944
170	17852.49416
171	17825.13191
172	17806.48191
173	17771.00995
174	17746.62609
175	17722.1455
176	17713.05783
177	17655.88356
178	17631.92332
179	17580.13906
180	17536.28686
181	17508.61113
182	17472.15412
183	17430.93121
184	17396.09748
185	17356.67952
186	17307.64165
187	17260.54221
188	17228.69934
189	17198.00321
190	17161.25476
191	17134.31014
192	17112.58967
193	17075.72261
194	17053.70526
195	17021.45516
196	16998.05413
197	16973.69942
198	16952.67325
199	16926.59726
200	16894.23487
201	16862.04978
202	16826.48115
203	16806.22238
204	16781.30757
205	16738.75543
206	16691.8561
207	16678.64229
208	16665.47882
209	16635.24024
210	16626.89956
211	16600.19765
212	16559.68383
213	16526.59973
214	16506.4421
215	16491.95866
216	16481.39939
217	16466.29022
218	16442.71198
219	16411.14592
220	16376.68004
221	16368.50337
222	16344.11918
223	16329.64927
224	16311.5532
225	16273.08586
226	16235.33397
227	16213.63851
228	16185.66864
229	16166.6831
230	16152.32911
231	16114.36359
232	16081.55278
233	16066.69616
234	16058.34104
235	16039.25265
236	16026.07724
237	15989.56478
238	15979.84117
239	15968.7173
240	15948.55272
241	15941.72994
242	15909.86075
243	15887.32643
244	15853.30229
245	15844.36837
246	15823.68876
247	15810.53619
