iter	RMSE
0	77539.20187
1	75411.49202
2	73370.02912
3	71634.39038
4	69918.98097
5	68277.4932
6	66655.55865
7	65035.25101
8	63448.60978
9	62195.40164
10	60862.95324
11	59536.65818
12	58237.37408
13	56803.76486
14	55586.68708
15	54261.79702
16	53100.81497
17	52057.53907
18	50966.64962
19	50066.11068
20	49180.87471
21	48263.67392
22	47298.74395
23	46440.95812
24	45605.57024
25	44822.74885
26	44061.30373
27	43302.33176
28	42558.858
29	41848.25016
30	41182.89057
31	40539.767
32	39929.77951
33	39316.2006
34	38738.94061
35	38302.97953
36	37825.40116
37	37206.86191
38	36579.58979
39	35999.14575
40	35532.47731
41	34996.00573
42	34513.57605
43	34107.79556
44	33695.337
45	33279.68619
46	32868.77101
47	32428.22002
48	32074.42779
49	31738.35196
50	31394.88053
51	31010.86861
52	30626.49239
53	30300.83126
54	29998.96276
55	29634.09659
56	29347.40006
57	29109.29209
58	28794.45709
59	28556.00927
60	28247.34473
61	27929.76193
62	27643.26879
63	27383.40343
64	27082.03249
65	26865.69648
66	26600.28005
67	26406.13473
68	26203.61117
69	26021.56159
70	25841.45172
71	25677.12378
72	25530.15088
73	25350.19572
74	25201.28492
75	25025.37157
76	24839.47437
77	24686.81917
78	24526.74641
79	24372.05983
80	24245.69148
81	24091.34428
82	23945.90705
83	23811.03576
84	23636.3537
85	23536.48807
86	23465.0233
87	23363.72218
88	23238.93717
89	23128.18286
90	23023.40053
91	22895.59701
92	22780.57902
93	22701.54614
94	22584.2906
95	22470.55072
96	22389.04702
97	22274.07517
98	22225.83526
99	22156.35893
100	22049.56965
101	21967.12653
102	21846.12926
103	21763.03082
104	21651.00473
105	21563.20102
106	21480.41965
107	21380.04464
108	21314.18446
109	21221.1056
110	21145.98734
111	21069.57584
112	20956.13162
113	20865.09249
114	20773.54872
115	20692.38619
116	20602.27261
117	20533.44806
118	20473.829
119	20439.92761
120	20406.96548
121	20342.79095
122	20278.31497
123	20230.4332
124	20148.51299
125	20086.3132
126	20043.52296
127	19981.9838
128	19933.57625
129	19884.38619
130	19826.91329
131	19767.87657
132	19711.91862
133	19672.2414
134	19595.68069
135	19547.05337
136	19491.73677
137	19455.02092
138	19397.58201
139	19348.90192
140	19297.61148
141	19235.86825
142	19178.26273
143	19141.44253
144	19099.74839
145	19055.87417
146	19050.84759
147	19007.79988
148	18974.42944
149	18903.96308
150	18898.61196
151	18843.7053
152	18835.64155
153	18797.17409
154	18746.23464
155	18681.98028
156	18641.55964
157	18565.63573
158	18513.9221
159	18508.2501
160	18477.35333
161	18432.66405
162	18416.94033
163	18347.7795
164	18289.50985
165	18240.72733
166	18189.81226
167	18148.82526
168	18091.1359
169	18088.17906
170	18041.08069
171	17977.6071
172	17940.36517
173	17900.64613
174	17887.88647
175	17844.48931
176	17795.8082
177	17749.28343
178	17705.10918
179	17657.01359
180	17619.41386
181	17575.47762
182	17548.82574
183	17502.28724
184	17461.95405
185	17440.4133
186	17398.90052
187	17362.78284
188	17311.99732
189	17276.26614
190	17222.24494
191	17186.75961
192	17155.19645
193	17124.60889
194	17092.47326
195	17066.93491
196	17038.79559
197	16998.7743
198	16977.26602
199	16961.29269
200	16916.17005
201	16892.99406
202	16866.75746
203	16851.34034
204	16833.83208
205	16816.31597
206	16792.08134
207	16763.09972
208	16732.93076
209	16720.03648
210	16706.51462
211	16674.80169
212	16643.85438
213	16611.80037
214	16592.83456
215	16555.45742
216	16539.66945
217	16499.37825
218	16480.03095
