iter	RMSE
0	77556.48429
1	75554.77414
2	73605.65444
3	71776.51979
4	69996.33684
5	68309.91955
6	66607.11611
7	64940.06273
8	63402.32098
9	61897.49462
10	60494.73988
11	59285.336
12	58200.63138
13	56949.33357
14	55640.36383
15	54469.81994
16	53348.40321
17	52229.18569
18	51081.63728
19	49995.27739
20	49125.05279
21	48320.399
22	47326.00909
23	46370.10217
24	45491.80418
25	44599.86806
26	43850.30729
27	43029.33125
28	42264.93989
29	41525.13711
30	40846.12912
31	40252.74642
32	39646.53172
33	39049.45192
34	38506.71175
35	37924.96736
36	37355.29043
37	36816.4031
38	36247.12817
39	35789.79851
40	35328.37629
41	34843.19792
42	34399.81869
43	33884.66224
44	33442.56479
45	32968.76276
46	32526.44228
47	32140.83846
48	31797.50723
49	31461.84484
50	31129.53846
51	30914.30593
52	30564.19662
53	30318.06573
54	30010.18354
55	29693.58118
56	29363.188
57	29060.41628
58	28827.87469
59	28538.36533
60	28272.45036
61	28036.44598
62	27864.298
63	27659.12786
64	27471.45098
65	27296.04358
66	27107.45913
67	26938.27333
68	26721.41341
69	26458.8327
70	26238.27236
71	26012.7041
72	25801.83866
73	25596.19262
74	25393.61217
75	25190.05997
76	25003.0521
77	24822.56746
78	24664.77267
79	24486.59822
80	24356.88265
81	24161.21463
82	23966.64335
83	23847.80812
84	23677.49964
85	23538.751
86	23382.79036
87	23276.44565
88	23166.68429
89	23070.6987
90	22934.37809
91	22824.30586
92	22688.13679
93	22524.61801
94	22435.52324
95	22348.82856
96	22265.59032
97	22188.54536
98	22101.29777
99	22006.63204
100	21890.56592
101	21769.74022
102	21685.66901
103	21601.10039
104	21513.29269
105	21404.82165
106	21320.10311
107	21234.19015
108	21136.69022
109	21053.68764
110	20968.15836
111	20901.94172
112	20828.34497
113	20754.8663
114	20683.32537
115	20615.17316
116	20527.7261
117	20480.18905
118	20405.19372
119	20340.61523
120	20267.72704
121	20204.26173
122	20160.0486
123	20086.97785
124	20010.43043
125	19962.38958
126	19896.5324
127	19809.22823
128	19768.42956
129	19690.85969
130	19628.54297
131	19592.83285
132	19543.18434
133	19473.07974
134	19415.09818
135	19347.36898
136	19292.54542
137	19222.5375
138	19206.21729
139	19134.98162
140	19090.97547
141	19020.89281
142	18969.48417
143	18944.08296
144	18902.51004
145	18890.08544
146	18798.98596
147	18750.86529
148	18685.69997
149	18655.77492
150	18617.72614
151	18569.4772
152	18493.32532
153	18425.70135
154	18385.32857
155	18359.50205
156	18323.45996
157	18281.07382
158	18263.01686
159	18213.28124
160	18175.024
161	18130.75956
162	18105.40924
163	18064.25472
164	18000.11739
165	17938.84226
166	17877.63748
167	17868.35721
168	17845.44246
169	17818.67685
170	17763.85038
171	17697.06973
172	17640.33874
173	17609.22457
174	17584.98018
175	17539.5109
176	17507.44236
177	17477.01535
178	17433.95649
179	17394.84632
180	17378.35815
181	17350.98236
182	17317.72214
183	17302.48174
184	17272.43706
185	17255.59564
186	17228.02898
187	17210.49353
188	17194.54402
189	17181.19576
190	17146.322
191	17100.88781
192	17087.41605
193	17068.07322
194	17043.25918
195	17013.89808
196	16980.61571
197	16957.51205
198	16926.53657
199	16905.67745
200	16883.14369
201	16846.79179
202	16822.35035
203	16797.35336
204	16771.57304
205	16734.78117
206	16726.34551
207	16682.16942
208	16645.51858
209	16633.4732
210	16594.96946
211	16584.16862
212	16561.18214
213	16550.19037
214	16539.64774
215	16527.14413
216	16506.86371
217	16476.10695
218	16457.92932
219	16437.09414
220	16420.19812
221	16391.19843
222	16361.18139
223	16320.24314
224	16311.99922
225	16272.45063
226	16235.44612
227	16200.99494
228	16195.89156
229	16188.09723
230	16159.7347
231	16132.56895
232	16097.17537
233	16093.04498
234	16062.30178
235	16030.64948
236	16008.77222
237	16004.37846
238	15998.41125
239	15970.4778
240	15919.22598
241	15871.87765
242	15859.0202
243	15827.42862
244	15812.46791
245	15798.58306
246	15760.02819
247	15734.53622
248	15702.93127
249	15689.90094
250	15675.66988
251	15638.06028
252	15624.60212
253	15609.69541
254	15586.80761
255	15584.10212
256	15558.10052
257	15531.60949
258	15527.62157
259	15505.00308
260	15483.50507
261	15471.51796
262	15465.39192
263	15452.88566
264	15424.23027
265	15403.30942
266	15378.26946
267	15375.03883
268	15335.74525
269	15315.32626
270	15289.11137
271	15250.96477
272	15221.55135
273	15201.71098
274	15174.86514
275	15166.46759
276	15133.92197
277	15109.07043
278	15100.67072
279	15077.17781
280	15069.25725
281	15064.38562
282	15043.16002
283	15020.06102
284	14984.20134
285	14963.24695
286	14928.68678
287	14923.52131
288	14913.28877
289	14900.32037
290	14870.1206
291	14867.39383
292	14863.93673
293	14824.771
294	14816.65117
295	14782.54813
296	14776.31485
297	14748.35649
298	14737.30299
299	14705.33603
300	14686.34613
301	14678.9427
302	14674.68605
303	14668.14553
304	14648.81467
305	14624.27104
306	14616.91034
307	14584.98707
308	14573.34756
309	14550.51778
310	14519.5998
311	14492.09558
312	14488.61886
313	14482.37122
314	14469.81705
315	14465.03911
316	14458.05637
317	14450.55379
318	14426.9609
319	14419.99945
320	14402.37231
321	14393.93052
322	14363.12028
323	14349.2356
324	14343.77968
325	14334.60613
326	14309.9257
327	14292.1775
328	14288.99242
329	14265.88779
330	14240.375
331	14233.33389
332	14221.40567
333	14190.96956
334	14171.6063
335	14153.90427
336	14149.05096
337	14143.8667
338	14109.03467
339	14088.25146
340	14065.15094
341	14037.52696
342	14012.98865
343	14007.71256
344	13995.05086
345	13991.27944
346	13985.78562
347	13972.16152
348	13946.7188
349	13920.20438
350	13913.25087
351	13888.21945
352	13876.19251
353	13852.92059
354	13839.78675
355	13837.06696
356	13814.16577
357	13800.59208
358	13783.44225
359	13776.4954
360	13773.03071
361	13750.45353
362	13725.17301
363	13717.33028
364	13714.29052
365	13694.10769
366	13690.68105
367	13675.71506
368	13643.07622
369	13633.02442
370	13601.5854
371	13583.36056
372	13570.50538
373	13559.63551
374	13536.69602
375	13531.83529
376	13515.34577
377	13489.96677
378	13486.603
379	13463.76504
380	13439.50151
381	13430.41351
382	13424.09049
383	13403.5077
384	13384.05412
385	13373.59568
386	13369.069
387	13364.38059
388	13359.88879
389	13345.16283
390	13326.1907
391	13324.37071
392	13321.65667
393	13302.16764
394	13291.61806
395	13263.99245
396	13240.00607
397	13235.58537
398	13224.83346
399	13206.07435
400	13183.49409
401	13181.14593
402	13170.88044
403	13142.0379
404	13119.30621
405	13101.72184
406	13083.95671
407	13082.39198
408	13072.99267
409	13069.57831
410	13066.02118
411	13055.06156
412	13040.11427
413	13022.45219
414	13020.39244
415	13005.61049
416	12994.81004
417	12979.64383
418	12966.99665
419	12965.02215
420	12938.30184
421	12924.8384
422	12914.39361
423	12909.51397
424	12903.78315
425	12899.60672
426	12897.51777
427	12872.287
428	12870.54013
429	12869.17672
430	12861.555
431	12853.80836
432	12836.15224
433	12812.73355
434	12803.87561
435	12788.05099
436	12774.92415
437	12759.04724
438	12734.46055
439	12726.76584
440	12721.94019
441	12704.36901
442	12701.26336
443	12683.94198
444	12667.97482
445	12665.43645
446	12653.60206
447	12639.90044
448	12623.6518
449	12601.04421
450	12592.88832
451	12579.82234
452	12558.93431
453	12555.57115
454	12540.10639
455	12521.9948
456	12511.59519
457	12504.57655
458	12484.81122
459	12466.19294
460	12464.94371
461	12450.57933
462	12440.3184
463	12421.75634
464	12413.894
465	12389.80416
466	12376.13879
467	12361.76818
468	12338.16984
469	12326.4306
470	12311.54508
471	12298.36594
472	12292.48924
473	12283.63738
474	12264.91803
475	12239.58253
476	12225.76931
477	12224.47198
478	12216.92374
479	12199.00407
480	12195.12142
481	12175.57128
482	12166.96385
483	12148.2501
484	12133.02616
485	12131.15197
486	12125.33673
487	12100.70257
488	12085.68752
489	12058.16059
490	12050.15406
491	12032.03391
492	12029.24477
493	11999.76446
494	11980.87736
495	11977.33761
496	11973.05448
497	11971.14146
498	11962.82089
499	11933.17921
500	11924.75386
501	11920.98019
502	11911.93923
503	11907.01569
504	11888.29974
505	11886.35111
506	11871.41841
507	11852.04418
508	11845.05945
509	11840.49759
510	11838.94396
511	11837.61356
512	11813.90673
513	11795.04262
514	11793.94012
515	11793.04035
516	11763.69728
517	11755.74574
518	11733.3941
519	11720.06238
520	11691.58272
521	11681.32526
522	11680.59354
523	11666.8434
524	11648.57859
525	11625.39196
526	11611.0677
527	11597.72899
528	11586.57622
529	11582.12892
530	11573.00126
531	11570.05996
532	11550.12303
533	11540.03775
534	11526.24511
535	11524.00833
536	11522.53152
537	11509.21504
538	11491.403
539	11488.04665
540	11473.96144
541	11464.88686
542	11463.22996
543	11450.10599
544	11431.09816
545	11422.4999
546	11404.39882
547	11390.94031
548	11382.89032
549	11379.33378
550	11369.88801
551	11356.52467
552	11346.6299
553	11344.11738
554	11327.71254
555	11315.06092
556	11297.56292
557	11289.40461
558	11276.23184
559	11271.14843
560	11266.11596
561	11246.60509
