iter	RMSE
0	77505.25544
1	75348.6985
2	73291.93018
3	71411.55434
4	69508.78199
5	67611.0319
6	65835.05145
7	64201.54221
8	62670.0667
9	61097.63961
10	59643.35809
11	58216.48937
12	56938.83937
13	55699.43334
14	54612.48975
15	53480.01623
16	52271.94145
17	51210.92447
18	50196.55198
19	49202.7575
20	48344.94486
21	47444.22477
22	46671.62798
23	45940.12536
24	45196.26469
25	44504.38801
26	43784.51771
27	43043.42679
28	42461.93939
29	41752.66083
30	41102.81101
31	40441.98327
32	39833.55777
33	39301.12306
34	38855.62679
35	38353.58451
36	37818.6689
37	37345.26323
38	36850.87053
39	36353.65148
40	35886.82887
41	35401.42216
42	34960.17536
43	34411.2323
44	33916.23583
45	33512.4927
46	33074.00312
47	32667.99755
48	32255.94289
49	31841.31592
50	31422.40927
51	31027.53148
52	30736.98523
53	30447.46204
54	30084.53781
55	29768.4834
56	29542.8734
57	29212.3859
58	28962.35447
59	28720.18901
60	28456.73692
61	28275.94211
62	28000.25645
63	27708.93894
64	27540.21321
65	27358.04159
66	27155.23865
67	26971.64087
68	26729.19407
69	26543.48822
70	26376.36978
71	26158.06512
72	25974.10057
73	25793.66986
74	25617.02222
75	25452.88557
76	25251.33167
77	25139.79527
78	24987.72777
79	24826.72055
80	24702.64151
81	24554.05929
82	24403.7705
83	24256.79156
84	24139.69225
85	24002.88947
86	23908.15739
87	23796.62353
88	23665.54956
89	23535.37322
90	23431.92538
91	23352.73694
92	23254.78072
93	23168.37435
94	23092.66803
95	22989.9725
96	22876.26811
97	22778.10052
98	22661.51108
99	22567.39693
100	22466.72617
101	22374.73386
102	22260.02103
103	22193.66134
104	22079.98838
105	22008.04623
106	21938.1216
107	21833.90883
108	21734.4773
109	21656.71993
110	21583.16674
111	21484.15551
112	21418.98418
113	21339.48306
114	21281.48839
115	21239.55476
116	21178.12236
117	21097.56378
118	21023.25492
119	20961.29417
120	20899.27122
121	20804.13032
122	20762.49325
123	20720.04253
124	20648.77494
125	20594.61421
126	20544.2227
127	20463.88158
128	20406.80261
129	20328.55982
130	20258.32699
131	20199.99325
132	20158.44957
133	20081.48033
134	20008.87981
135	19959.33939
136	19905.7031
137	19818.3215
138	19770.37313
139	19700.88938
140	19687.1166
141	19646.42816
142	19619.52372
143	19569.3537
144	19516.1001
145	19448.62928
146	19404.50067
147	19359.10922
148	19296.79841
149	19253.55898
150	19221.12948
151	19185.67211
152	19148.21954
153	19098.158
