iter	RMSE
0	0.3939221003
1	0.3855975171
2	0.377880688
3	0.3702527454
4	0.36309683
5	0.356011652
6	0.3492356103
7	0.3422098108
8	0.3360588794
9	0.3296232775
10	0.3235374807
11	0.3179295251
12	0.3124733681
13	0.3077917444
14	0.3020039243
15	0.2970618124
16	0.2916493337
17	0.2868010004
18	0.28188645
19	0.2772031032
20	0.2725684744
21	0.2681961654
22	0.2638262249
23	0.2595061296
24	0.2558071577
25	0.2518292164
26	0.2486907472
27	0.2453737968
28	0.2420412504
29	0.2384553818
30	0.2349530078
31	0.2317824956
32	0.2287359078
33	0.2258762616
34	0.2228265778
35	0.2197923345
36	0.216826556
37	0.2139451536
38	0.211328431
39	0.208511875
40	0.2057478625
41	0.2032417334
42	0.200944762
43	0.1985168606
44	0.1964155565
45	0.1945181933
46	0.1921878041
47	0.1902929505
48	0.1889226075
49	0.1870300668
50	0.1851928623
51	0.1833949283
52	0.1817987958
53	0.1802096036
54	0.1785675086
55	0.1769272776
56	0.1755214456
57	0.1739932549
58	0.1725241059
59	0.1713219615
60	0.169852449
61	0.1685116013
62	0.1671374879
63	0.165753663
64	0.1645080521
65	0.163411596
66	0.1622104489
67	0.1610942361
68	0.1601439663
69	0.158924024
70	0.1578230652
71	0.1568145818
72	0.155610533
73	0.1546477062
74	0.153703287
75	0.1527985057
76	0.1519231681
77	0.1509351497
78	0.150104262
79	0.1492455535
80	0.148469632
81	0.1475748989
82	0.1467892357
83	0.1459959617
84	0.1453340632
85	0.1446622848
86	0.1439546512
87	0.1434189183
88	0.1424244707
89	0.141833601
90	0.1410679521
91	0.1404524277
92	0.1397837709
93	0.1390031177
94	0.1385327762
95	0.1378276977
96	0.1371406117
97	0.1364083735
98	0.1359019198
99	0.1351340508
100	0.1343574312
101	0.1338264423
102	0.133270021
103	0.1327087675
104	0.1320335965
105	0.1317364272
106	0.1310270593
107	0.1306015844
108	0.1300432304
109	0.1296087446
110	0.1291341455
111	0.128674891
112	0.1282323622
113	0.1279290462
