iter	Passed	Remaining
0	4	4752
1	7	3849
2	11	3910
3	15	3880
4	19	3855
5	23	3904
6	25	3631
7	30	3771
8	34	3811
9	38	3784
10	42	3803
11	46	3849
12	51	3876
13	55	3891
14	59	3904
15	63	3892
16	67	3895
17	71	3883
18	75	3876
19	79	3900
20	84	3937
21	88	3935
22	93	3962
23	98	4018
24	102	4011
25	106	3996
26	110	3981
27	114	3987
28	118	3978
29	122	3971
30	126	3966
31	130	3957
32	134	3946
33	138	3944
34	142	3940
35	147	3943
36	151	3934
37	155	3930
38	158	3917
39	162	3906
40	166	3899
41	170	3897
42	174	3887
43	178	3884
44	182	3878
45	186	3874
46	191	3881
47	196	3897
48	200	3893
49	204	3890
50	208	3879
51	212	3875
52	216	3869
53	220	3863
54	224	3859
55	228	3853
56	232	3851
57	236	3843
58	240	3836
59	244	3831
60	248	3828
61	252	3821
62	256	3815
63	260	3810
64	264	3804
65	269	3808
66	273	3805
67	277	3798
68	281	3800
69	285	3793
70	289	3787
71	293	3782
72	297	3778
73	301	3775
74	306	3774
75	309	3768
76	314	3768
77	318	3764
78	322	3758
79	326	3758
80	331	3756
81	335	3752
82	338	3744
83	343	3745
84	347	3740
85	351	3732
86	355	3729
87	359	3725
88	363	3722
89	367	3718
90	371	3712
91	375	3709
92	380	3706
93	383	3699
94	387	3694
95	392	3694
96	396	3692
97	400	3686
98	404	3684
99	408	3678
100	412	3675
101	416	3671
102	421	3667
103	425	3664
104	429	3662
105	433	3657
106	437	3651
107	441	3648
108	445	3644
109	449	3636
110	453	3632
111	457	3629
112	461	3624
113	465	3619
114	470	3617
115	473	3611
116	477	3604
117	481	3600
118	485	3595
119	489	3589
120	493	3583
121	497	3579
122	501	3574
123	505	3570
124	509	3566
125	513	3560
126	517	3555
127	521	3552
128	525	3548
129	529	3542
130	533	3538
131	537	3533
132	541	3529
133	545	3525
134	549	3518
135	553	3515
136	557	3509
137	561	3504
138	564	3498
139	568	3493
140	572	3489
141	576	3485
142	580	3479
143	584	3476
144	588	3471
145	592	3467
146	596	3463
147	601	3460
148	605	3456
149	609	3451
150	613	3449
151	617	3443
152	621	3438
153	625	3435
154	629	3429
155	632	3424
156	637	3420
157	641	3417
158	642	3397
159	646	3395
160	650	3391
161	654	3388
162	659	3384
163	663	3381
164	667	3377
165	671	3373
166	675	3369
167	679	3365
168	683	3361
169	687	3356
170	691	3351
171	694	3344
172	698	3339
173	702	3334
174	706	3330
175	708	3317
176	712	3314
177	716	3310
178	720	3306
179	724	3301
180	728	3295
181	732	3291
182	736	3288
183	740	3284
184	744	3280
185	748	3276
186	752	3272
187	756	3268
188	760	3264
189	764	3258
190	768	3254
191	772	3250
192	776	3245
193	780	3240
194	783	3235
195	787	3230
196	790	3224
197	794	3218
198	798	3213
199	802	3208
200	806	3204
201	809	3199
202	813	3195
203	817	3190
204	821	3185
205	825	3181
206	829	3176
207	833	3172
208	837	3168
209	841	3164
210	845	3160
211	848	3155
212	852	3150
213	856	3147
214	860	3142
215	864	3136
216	868	3132
217	872	3128
218	875	3123
219	880	3120
220	884	3117
221	888	3112
222	892	3109
223	896	3104
224	900	3100
225	904	3097
226	908	3092
227	911	3087
228	915	3083
229	919	3079
230	924	3076
231	928	3073
232	931	3067
233	935	3062
234	939	3058
235	943	3054
236	947	3048
237	950	3044
238	955	3041
239	959	3037
240	963	3033
241	967	3029
242	970	3024
243	975	3021
244	979	3018
245	983	3013
246	987	3010
247	991	3006
248	995	3002
249	999	2998
250	1003	2995
251	1007	2990
252	1011	2986
253	1015	2983
254	1019	2979
255	1023	2975
256	1027	2971
257	1032	2968
258	1036	2964
259	1040	2960
260	1044	2956
261	1048	2952
262	1052	2949
263	1056	2944
264	1060	2940
265	1064	2936
266	1068	2932
267	1072	2928
268	1076	2924
269	1080	2920
270	1084	2917
271	1088	2913
272	1092	2910
273	1097	2907
274	1105	2915
275	1109	2911
276	1113	2907
277	1118	2904
278	1122	2900
279	1129	2904
280	1136	2907
281	1140	2902
282	1144	2900
283	1148	2895
284	1152	2891
285	1157	2889
286	1161	2885
287	1165	2882
288	1169	2877
289	1173	2874
290	1178	2870
291	1182	2866
292	1186	2862
293	1190	2858
294	1194	2854
295	1198	2849
296	1202	2845
297	1206	2842
298	1210	2838
299	1214	2834
300	1219	2831
301	1223	2827
302	1227	2822
303	1231	2819
304	1235	2815
305	1239	2811
306	1243	2807
307	1247	2803
308	1251	2799
309	1256	2796
310	1260	2791
311	1264	2788
312	1268	2784
313	1272	2780
314	1276	2776
315	1280	2772
316	1284	2768
317	1288	2764
318	1293	2761
319	1297	2757
320	1301	2753
321	1306	2750
322	1310	2746
323	1314	2741
324	1318	2737
325	1322	2734
326	1326	2730
327	1330	2726
328	1334	2722
329	1339	2718
330	1343	2714
331	1347	2711
332	1351	2707
333	1355	2703
334	1360	2699
335	1364	2695
336	1368	2691
337	1372	2688
338	1376	2684
339	1381	2681
340	1385	2678
341	1389	2673
342	1393	2669
343	1397	2665
344	1402	2662
345	1406	2658
346	1410	2653
347	1414	2649
348	1418	2645
349	1422	2642
350	1426	2638
351	1431	2634
352	1435	2630
353	1439	2627
354	1444	2623
355	1448	2619
356	1452	2615
357	1455	2610
358	1460	2607
359	1464	2603
360	1468	2599
361	1472	2595
362	1477	2591
363	1481	2588
364	1485	2584
365	1489	2580
366	1493	2576
367	1497	2572
368	1501	2568
369	1506	2564
370	1510	2560
371	1514	2557
372	1518	2553
373	1523	2549
374	1527	2546
375	1532	2542
376	1535	2538
377	1540	2534
378	1544	2531
379	1549	2527
380	1552	2523
381	1557	2519
382	1561	2515
383	1565	2510
384	1569	2507
385	1573	2503
386	1577	2498
387	1581	2495
388	1585	2490
389	1590	2487
390	1594	2483
391	1598	2478
392	1602	2475
393	1606	2470
394	1610	2466
395	1614	2463
396	1619	2459
397	1623	2455
398	1627	2451
399	1631	2447
400	1636	2444
401	1640	2440
402	1645	2436
403	1649	2432
404	1653	2428
405	1657	2424
406	1661	2420
407	1665	2416
408	1669	2412
409	1674	2409
410	1678	2405
411	1682	2401
412	1687	2397
413	1691	2393
414	1695	2390
415	1700	2386
416	1704	2383
417	1708	2379
418	1713	2375
419	1717	2371
420	1721	2368
421	1725	2364
422	1729	2359
423	1734	2356
424	1738	2352
425	1742	2348
426	1746	2344
427	1751	2340
428	1755	2336
429	1759	2332
430	1764	2329
431	1768	2325
432	1772	2321
433	1777	2317
434	1781	2313
435	1784	2308
436	1789	2305
437	1793	2301
438	1797	2297
439	1801	2293
440	1806	2289
441	1810	2285
442	1814	2281
443	1818	2277
444	1822	2272
445	1826	2269
446	1830	2264
447	1835	2261
448	1839	2256
449	1842	2252
450	1847	2248
451	1851	2244
452	1855	2240
453	1860	2237
454	1864	2233
455	1868	2229
456	1872	2225
457	1877	2221
458	1881	2217
459	1886	2214
460	1890	2210
461	1894	2206
462	1898	2202
463	1903	2198
464	1907	2194
465	1911	2190
466	1915	2186
467	1919	2181
468	1923	2177
469	1927	2173
470	1931	2169
471	1936	2166
