iter	Passed	Remaining
0	8	1778
1	16	1676
2	25	1706
3	33	1660
4	42	1644
5	48	1569
6	54	1513
7	61	1468
8	66	1407
9	71	1366
10	78	1342
11	83	1303
12	88	1268
13	93	1239
14	98	1214
15	106	1226
16	114	1230
17	122	1238
18	127	1218
19	134	1212
20	139	1187
21	145	1176
22	150	1159
23	155	1143
24	161	1128
25	166	1116
26	172	1103
27	178	1099
28	184	1086
29	190	1078
30	195	1064
31	201	1057
32	206	1045
33	212	1037
34	217	1023
35	222	1014
36	227	1003
37	233	993
38	239	989
39	245	983
40	251	973
41	257	968
42	263	961
43	268	951
44	271	934
45	277	930
46	284	926
47	290	921
48	296	913
49	302	907
50	308	901
51	314	894
52	318	884
53	324	877
54	330	870
55	335	862
56	340	853
57	347	850
58	352	842
59	358	835
60	364	830
61	370	824
62	376	818
63	382	813
64	388	807
65	395	802
66	400	794
67	406	789
68	411	780
69	417	775
70	422	768
71	429	762
72	434	755
73	439	748
74	444	740
75	450	735
76	455	727
77	462	723
78	469	719
79	476	714
80	481	707
81	487	701
82	493	695
83	498	688
84	503	681
85	509	675
86	513	667
87	519	660
88	524	653
89	529	647
90	534	640
91	541	635
92	547	629
93	552	622
94	557	616
95	562	609
96	566	601
97	571	594
98	575	587
99	582	582
100	586	575
101	592	569
102	597	562
103	603	557
104	607	549
105	613	543
106	617	536
107	623	530
108	627	524
109	632	517
110	637	510
111	642	504
112	647	498
113	652	492
114	657	485
115	662	479
116	667	473
117	672	467
118	677	461
119	683	455
120	688	449
121	694	443
122	698	437
123	703	431
124	708	425
125	713	419
126	718	413
127	723	407
128	728	400
129	733	394
130	737	388
131	743	383
132	748	377
133	754	371
134	758	365
135	763	359
136	767	353
137	773	347
138	778	341
139	783	335
140	788	330
141	793	324
142	798	318
143	803	312
144	808	306
145	813	301
146	818	295
147	824	289
148	829	284
149	835	278
150	840	272
151	845	266
152	850	261
153	856	255
154	862	250
155	867	244
156	872	238
157	878	233
158	883	227
159	888	222
160	895	216
161	902	211
162	907	205
163	912	200
164	918	194
165	924	189
166	930	183
167	935	178
168	941	172
169	948	167
170	953	161
171	959	156
172	965	150
173	971	145
174	978	139
175	982	134
176	987	128
177	993	122
178	1000	117
179	1005	111
180	1012	106
181	1017	100
182	1024	95
183	1030	89
184	1035	83
185	1043	78
186	1048	72
187	1053	67
188	1059	61
189	1064	56
190	1069	50
191	1077	44
192	1082	39
193	1087	33
194	1093	28
195	1098	22
196	1104	16
197	1110	11
198	1115	5
199	1121	0
