iter	Passed	Remaining
0	6	6821
1	11	5913
2	17	5876
3	21	5437
4	27	5548
5	35	5889
6	41	5932
7	47	5915
8	54	5978
9	58	5789
10	63	5704
11	69	5720
12	75	5759
13	82	5780
14	87	5754
15	94	5799
16	97	5652
17	103	5631
18	109	5664
19	113	5561
20	119	5591
21	125	5562
22	131	5591
23	141	5740
24	146	5704
25	151	5663
26	157	5689
27	165	5747
28	175	5890
29	182	5888
30	191	5976
31	197	5975
32	202	5939
33	209	5941
34	214	5923
35	220	5893
36	229	5974
37	238	6044
38	243	5990
39	249	5978
40	257	6019
41	265	6051
42	270	6019
43	278	6041
44	282	5989
45	292	6065
46	298	6059
47	307	6097
48	314	6094
49	322	6118
50	327	6094
51	333	6086
52	339	6062
53	343	6025
54	349	6003
55	357	6019
56	362	5992
57	368	5982
58	374	5973
59	380	5954
60	385	5940
61	391	5918
62	396	5892
63	401	5877
64	410	5904
65	417	5912
66	424	5913
67	431	5916
68	437	5896
69	442	5876
70	450	5890
71	456	5885
72	465	5909
73	472	5913
74	477	5893
75	485	5900
76	491	5893
77	498	5897
78	504	5880
79	512	5897
80	520	5910
81	527	5904
82	534	5906
83	539	5884
84	546	5883
85	552	5867
86	557	5852
87	565	5861
88	574	5883
89	577	5841
90	583	5827
91	591	5840
92	602	5873
93	608	5862
94	614	5852
95	621	5851
96	626	5828
97	631	5813
98	636	5796
99	642	5786
100	650	5786
101	658	5793
102	663	5774
103	668	5755
104	673	5741
105	678	5724
106	684	5709
107	690	5701
108	695	5688
109	703	5690
110	711	5694
111	715	5675
112	720	5658
113	728	5658
114	734	5651
115	740	5641
116	742	5603
117	752	5625
118	759	5620
119	765	5614
120	771	5601
121	777	5593
122	783	5583
123	789	5578
124	799	5596
125	808	5608
126	815	5606
127	823	5609
128	829	5599
129	835	5588
130	841	5582
131	842	5542
132	848	5532
133	854	5524
134	861	5522
135	867	5514
136	874	5506
137	881	5508
138	889	5511
139	895	5503
140	900	5488
141	907	5485
142	913	5477
143	920	5471
144	926	5463
145	931	5451
146	937	5440
147	943	5431
148	949	5421
149	954	5407
150	960	5398
151	964	5380
152	969	5369
153	976	5364
154	982	5354
155	988	5347
156	994	5337
157	1002	5339
158	1009	5341
159	1018	5347
160	1025	5344
161	1031	5336
162	1036	5322
163	1041	5308
164	1048	5304
165	1054	5295
166	1060	5291
167	1064	5273
168	1070	5263
169	1075	5253
170	1081	5241
171	1086	5231
172	1094	5232
173	1101	5228
174	1106	5214
175	1111	5202
176	1116	5189
177	1122	5182
178	1127	5173
179	1134	5168
180	1140	5162
181	1150	5168
182	1159	5175
183	1174	5206
184	1184	5217
185	1190	5208
186	1196	5200
187	1201	5190
188	1208	5185
189	1216	5185
190	1222	5179
191	1230	5178
192	1236	5172
193	1245	5174
194	1250	5163
195	1259	5165
196	1265	5158
197	1271	5149
198	1276	5139
199	1283	5134
200	1289	5125
201	1294	5112
202	1299	5100
203	1305	5092
204	1312	5089
205	1317	5076
206	1322	5066
207	1327	5055
208	1332	5043
209	1338	5035
210	1345	5030
211	1352	5025
212	1358	5019
213	1363	5007
214	1371	5007
215	1377	4998
216	1387	5006
217	1393	4999
218	1400	4993
219	1411	5003
220	1418	5000
221	1424	4993
222	1430	4985
223	1436	4975
224	1442	4967
225	1448	4960
226	1455	4954
227	1460	4943
228	1465	4934
229	1471	4926
230	1477	4918
231	1483	4912
232	1489	4904
233	1499	4909
234	1505	4900
235	1510	4889
236	1516	4882
237	1525	4884
238	1531	4876
239	1537	4870
240	1544	4864
241	1550	4856
242	1559	4859
243	1564	4848
244	1574	4852
245	1583	4852
246	1592	4853
247	1598	4847
248	1603	4835
249	1609	4828
250	1614	4818
251	1622	4815
252	1628	4807
253	1634	4801
254	1640	4794
255	1646	4785
256	1654	4783
257	1661	4779
258	1668	4773
259	1675	4768
260	1683	4765
261	1688	4757
262	1694	4748
263	1699	4737
264	1705	4730
265	1710	4721
266	1716	4712
267	1723	4706
268	1728	4698
269	1736	4696
270	1743	4690
271	1749	4683
272	1756	4678
273	1762	4668
274	1767	4660
275	1773	4652
276	1779	4645
277	1785	4637
278	1791	4630
279	1796	4620
280	1805	4618
281	1813	4616
282	1820	4613
283	1831	4617
284	1839	4614
285	1845	4606
286	1855	4609
287	1861	4602
288	1867	4595
289	1877	4596
290	1884	4591
291	1890	4583
292	1896	4575
293	1904	4572
294	1911	4568
295	1917	4560
296	1922	4551
297	1929	4544
298	1934	4535
299	1940	4527
300	1945	4517
301	1952	4513
302	1958	4505
303	1964	4497
304	1969	4488
305	1976	4482
306	1983	4478
307	1991	4474
308	1997	4466
309	2004	4462
310	2010	4454
311	2017	4449
312	2023	4440
313	2029	4433
314	2035	4427
315	2042	4420
316	2051	4419
317	2057	4412
318	2066	4410
319	2075	4410
320	2083	4407
321	2093	4407
322	2102	4407
323	2109	4400
324	2117	4397
325	2122	4387
326	2128	4381
327	2135	4375
328	2141	4367
329	2148	4362
330	2154	4353
331	2161	4349
332	2167	4340
333	2173	4333
334	2180	4328
335	2187	4322
336	2195	4318
337	2201	4311
338	2220	4329
339	2229	4328
340	2236	4322
341	2243	4316
342	2250	4311
343	2257	4305
344	2264	4299
345	2270	4290
346	2276	4284
347	2283	4277
348	2290	4271
349	2296	4264
350	2304	4261
351	2312	4256
352	2318	4249
353	2324	4241
354	2332	4238
355	2339	4232
356	2345	4224
357	2354	4221
358	2360	4214
359	2366	4207
360	2372	4199
361	2379	4193
362	2385	4185
363	2391	4178
364	2397	4171
365	2403	4164
366	2409	4155
367	2416	4149
368	2422	4142
369	2428	4135
370	2434	4127
371	2441	4121
372	2447	4114
373	2454	4108
374	2460	4100
375	2469	4098
376	2474	4089
377	2480	4081
378	2486	4073
379	2491	4064
380	2496	4055
381	2501	4046
382	2507	4039
383	2514	4033
384	2520	4025
385	2528	4021
386	2534	4015
387	2540	4007
388	2546	3999
389	2553	3993
390	2558	3985
391	2564	3978
392	2570	3969
393	2575	3962
394	2582	3954
395	2591	3953
396	2598	3946
397	2605	3940
398	2610	3932
399	2616	3924
400	2621	3915
401	2626	3907
402	2633	3901
403	2639	3893
404	2648	3890
405	2653	3882
406	2659	3875
407	2668	3872
408	2674	3865
409	2681	3858
410	2686	3850
